BLDG #,ADDRESS #,STREET,NUMBER OF UNITS (HIP OR GABLE),BLD TYPE,MANUFACTURE,CLASS,COLOR,RE-ROOF COMPLETION,2025 INSP Rating,REPAIR COST,Vent Type (#),Vent Replacement,Partial Gutters,Full Gutter Replacement,DESCRIPTION,Claim Number,,
21,"7999, 8009, 19",S ALGONQUIAN CIR,3  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Jan-14,2,"$2,534",Power (3),"$2,752",,," REPLACE 4 SUARES OF DAMAGED SHINGLES AND NECESSARY RIDGE CAPS; REMOVE, REPLACE AND PAINT TWO DAMAGED FLUE CAPS; REMOVE 3 POWER VRENTS AND INSTALL RIDGE VENT ", CR0921629 ,,
22,"7650, 58, 60, 70, 80, 90",S BUCHANAN WAY,6  (G) 3,GABLE,CERTAINTEED,LANDMARK IR,MOIRE BLCK,Jan-14,3,,RVs (28) **,,,"$3,793", FULL GUTTER REPLACEMENT ,,,
23,"23703, 13, 23, 33",E KETTLE PL,4  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,MOIRE BLCK,Jan-14,3,,RvS (17)**,,,,,,,
24,"23743, 53, 63, 73",E KETTLE PL,4  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,MOIRE BLCK,Feb-14,4,,RVs (18)**,,,"$2,167", FULL GUTTER REPLACEMENT ,,,
25,"7653, 59, 63",S BILOXI WAY,3  (H) 1,HIP,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Feb-14,2,"$3,276",RVs (9),,,"$2,922", REPLACE 7 SQUARES OF DAMAGED SHINGLES AND NECESSARY RIDGE CAPS  + FULL GUTTER REPLACEMENT , CR0921630 ,,
26,"7669, 73, 79, 83",S BILOXI WAY,4  (H) 1,HIP,CERTAINTEED,LANDMARK IR,WEATHERWOOD,Feb-14,3,,RVs (20)**,,,"$3,241",FULL GUTTER REPLACEMENT,,,
27,"7689, 93, 99, 7701",S BILOXI WAY,4  (H) 1,HIP,CERTAINTEED,LANDMARK IR,WEATHERWOOD,Feb-14,3,,RVs (24)**,,"$1,438","$2,947", REPLACE 267' OF GUTTERS (FULL REPLACEMENT) ,,,
28,"7705, 11, 15",S BILOXI WAY,3  (G) 1,GABLE,CERTAINTEED,,WEATHERWOOD,,5,,RVs (18)**,,,"$1,732", FULL GUTTER REPLACEMENT ,,,
29,"7721, 25, 31, 45",S BILOXI WAY,4  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Mar-14,3,,RVs (24)**,,"$1,930","$2,167",REPLACE 255' OF GUTTERS (FULL REPLACEMENT), CR0921712 ,,
30,"7751, 55, 57",S BILOXI WAY,3  (H) 2,HIP,CERTAINTEED,LANDMARK IR,WEATHERWOOD,Mar-14,4,,RVs (18)**,,,,,,,
31,"7761, 65, 67, 71",S BILOXI WAY,4  (H) 1,HIP,OC-DURATION,STORM IR,BLACK,Nov-19,5,,RVs (28)**,,,"$3,241",FULL GUTTER REPLACEMENT,,,
32,"7775, 77, 81",S BILOXI WAY,3  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,WEATHERWOOD,Mar-14,4,,RVs (18)**,,"$1,206","$1,518",REPLACE 160' OF GUTTERS (FULL REPLACEMENT),,,
33,"7785, 87, 91",S BILOXI WAY,3  (G) 2,GABLE,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Mar-14,3,,RVs (18)**,,,"$1,632",FULL GUTTER REPLACEMENT,,,
34,"7795, 97, 7801, 05",S BILOXI WAY,4  (H) 1,HIP,CERTAINTEED,,BLACK,,5,,RVs (20)**,,,"$3,241",FULL GUTTER REPLACEMENT,,,
35,"7807, 11, 15",S BILOXI WAY,3  (H) 4,HIP,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Mar-14,4,,RVs (18)**,,,"$2,922",FULL GUTTER REPLACEMENT,,,
36,"7784, 86, 92",S BILOXI WAY,3  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,WEATHERWOOD,Jan-15,5,,RVs (18)**,,,,,,,
37,"7774, 76, 82",S BILOXI WAY,3  (G) 2,GABLE,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Jan-15,4,,RVs (18)**,,,,,,,
38,"7754, 56, 62, 64, 66, 72",S BILOXI WAY,6  (H) 3,HIP,OC-DURATION,STORM IR,TEAK,Oct-19,5,,RVs (28) **,,"$1,792","$3,992",REPLACE 223' OF GUTTERS (FULL REPLACEMENT),,,
39,"23662, 72, 82, 92",E LINKS PL,4  (H) 1,HIP,OC-DURATION,STORM IR,BLACK,Nov-19,5,,RVs (24)**,,,,,,,
40,"23633, 43, 53, 63, 73, 83",E LINKS PL,6  (G) 3,GABLE,CERTAINTEED,LANDMARK IR,BLACK,Oct-18,5,,RVs (28) **,,"$1,859","$3,241", REPLACE 187' OF GUTTERS (FULL REPLACEMENT) ,,,
41,"23644, 54, 64, 74, 84, 94",E KETTLE PL,6  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,WEATHERWOOD,Dec-13,5,,RVs (28) **,,"$2,365","$3,793", REPLACE 339' OF GUTTERS (FULL REPLACEMENT) ,,,
